ID_Resposta,Participante_ID,Instituição,Perfil,Tema_Principal,Resposta_Transcrita,Código_Aplicado,Segmento_Codificado
R001,P001,IFTO,Gestor,Funcionalidades_Mais_Úteis,"O módulo de cadastro de estudantes é muito prático. Com um único login, consigo acessar todo o histórico do aluno com TEA.",FUNC_Cadastro_Estudantes,módulo de cadastro de estudantes é muito prático
R002,P001,IFTO,Gestor,Funcionalidades_Mais_Úteis,Mas o que mais me impressionou foi o dashboard - consigo visualizar rapidamente o progresso de todos os estudantes atendidos pelo AEE.,FUNC_Dashboard_Métricas,dashboard - consigo visualizar rapidamente o progresso
R003,P001,IFTO,Gestor,Dificuldades_Implementação,O maior desafio seria a resistência inicial de alguns professores à mudança de rotina.,DES_Resistência_Mudança,resistência inicial de alguns professores à mudança
R004,P001,IFTO,Gestor,Dificuldades_Implementação,"Outro ponto seria capacitar todo o pessoal da escola, inclusive os que têm menor afinidade com tecnologia.",DES_Capacitação_Treinamento,capacitar todo o pessoal da escola
R005,P001,IFTO,Gestor,Impacto_Participação_Família,"Com o acesso transparente às informações sobre o desenvolvimento do filho, as famílias ficarão muito mais engajadas.",COM_Participação_Família,"acesso transparente às informações, famílias ficarão muito mais engajadas"
R006,P001,IFTO,Gestor,Continuidade_Pedagógica,"Com o NEXUS-EDU, todo o histórico de atendimento, estratégias que funcionaram, objetivos em desenvolvimento - tudo fica registrado e acessível.",IMP_Continuidade_Pedagógica,"histórico de atendimento, estratégias que funcionaram"
R007,P002,IFTO,Professor AEE,Funcionalidades_Mais_Úteis,A facilidade de registrar os atendimentos é ótima. Não preciso preencher formulários em papel e depois passar para o computador. Tudo em tempo real.,FUNC_Registros_Atendimentos,"facilidade de registrar os atendimentos, em tempo real"
R008,P002,IFTO,Professor AEE,Dificuldades_Implementação,Minha preocupação é com a segurança dos dados das crianças. Preciso ter certeza de que apenas pessoas autorizadas acessarão essas informações sensíveis.,SEG_Proteção_Dados,"segurança dos dados das crianças, pessoas autorizadas"
R009,P003,Colégio Estadual Dom Alano,Gestor,Funcionalidades_Mais_Úteis,"A gestão de documentos pedagógicos é revolucionária. PEI, PAEE, PDI - tudo padronizado, organizado, rastreável.",FUNC_Documentos_Pedagógicos,"gestão de documentos pedagógicos, padronizado, organizado"
R010,P003,Colégio Estadual Dom Alano,Gestor,Dificuldades_Implementação,"O que pediria seria fazer treinamento em horário de trabalho, não fora do expediente. Precisamos de tempo remunerado para aprender.",REC_Horário_Treinamento,"treinamento em horário de trabalho, tempo remunerado"
R011,P003,Colégio Estadual Dom Alano,Gestor,Impacto_Participação_Família,"Com um app mobile, seria perfeito para as famílias consultarem o progresso do filho quando quiserem.",REC_App_Mobile,"app mobile, famílias consultarem o progresso"
R012,P004,Colégio Estadual Dom Alano,Professor AEE,Funcionalidades_Mais_Úteis,O sistema de notificações será importante para garantir que todas as equipes multidisciplinares saibam das necessidades dos estudantes em tempo real.,COM_Notificações,"sistema de notificações, equipes multidisciplinares, tempo real"
R013,P004,Colégio Estadual Dom Alano,Professor AEE,Dificuldades_Implementação,"Precisaria de suporte técnico disponível. Quando houver problemas, alguém precisa estar lá para resolver rapidamente.",DES_Suporte_Técnico,"suporte técnico disponível, resolver rapidamente"
