Código,Descrição,Tipo,Cor_Recomendada,Exemplos_Palavras-Chave
USB_Facilidade_Navegação,Sistema é fácil de navegar e usar,Temático,Azul,"fácil, navegar, prático, intuitivo, simples"
USB_Organização_Interface,A interface está bem organizada e clara,Temático,Azul,"organizada, clara, bem estruturada, visual, design"
USB_Acessibilidade,Questões de acessibilidade para usuários com diferentes níveis de tecnologia,Temático,Azul,"acessível, usuários, tecnologia, nível"
FUNC_Cadastro_Estudantes,Efetividade do módulo de cadastro de estudantes,Temático,Verde,"cadastro, estudantes, dados, módulo, registrar"
FUNC_Documentos_Pedagógicos,"Funcionalidade de gestão de PEI, PAEE, PDI",Temático,Verde,"PEI, PAEE, PDI, documentos, pedagógicos, padronização"
FUNC_Dashboard_Métricas,Utilidade do dashboard para visualizar progresso,Temático,Verde,"dashboard, métricas, progresso, visualizar, acompanhamento"
FUNC_Registros_Atendimentos,Funcionalidade de registro de atendimentos,Temático,Verde,"registro, atendimento, tempo real, formulário, preencher"
FUNC_Chatbot_IA,Funcionalidade do chatbot educacional com IA,Temático,Verde,"chatbot, IA, inteligência artificial, sugestões, apoio"
COM_Comunicação_Profissionais,Facilita comunicação entre profissionais da escola,Temático,Laranja,"comunicação, profissionais, equipe, multidisciplinar, colaboração"
COM_Participação_Família,Potencial para aumentar participação das famílias,Temático,Laranja,"família, famílias, participação, envolvimento, pais"
COM_Transparência_Informações,Transparência e acesso às informações pelos stakeholders,Temático,Laranja,"transparência, acesso, informações, relatório, histórico"
COM_Notificações,Sistema de notificações em tempo real,Temático,Laranja,"notificação, aviso, alerta, comunicação, em tempo real"
SEG_Proteção_Dados,Confiança na proteção de dados dos estudantes,Temático,Vermelho,"segurança, dados, protegido, confidencial, LGPD"
SEG_Conformidade_LGPD,Conformidade com Lei Geral de Proteção de Dados,Temático,Vermelho,"LGPD, proteção, dados, conformidade, privacidade"
SEG_Controle_Acesso,Controle de acesso e autorização de usuários,Temático,Vermelho,"acesso, autorização, login, controle, permissão"
IMP_Continuidade_Pedagógica,Contribuição para continuidade pedagógica,Temático,Roxo,"continuidade, pedagógica, transferência, histórico, acompanhamento"
IMP_Redução_Tempo,Potencial para reduzir tempo de documentação,Temático,Roxo,"tempo, redução, documentação, administrativa, eficiência"
IMP_Melhoria_Atendimento,Impacto geral na melhoria do atendimento,Temático,Roxo,"melhoria, atendimento, qualidade, progresso, resultado"
DES_Resistência_Mudança,Resistência à adoção/mudança de práticas,Temático,Rosa,"resistência, mudança, preferem, habitual, rotina"
DES_Capacitação_Treinamento,Necessidade de capacitação e treinamento,Temático,Rosa,"capacitação, treinamento, aprendizado, preparação, formação"
DES_Suporte_Técnico,Necessidade de suporte técnico,Temático,Rosa,"suporte, técnico, problemas, resolução, disponível"
DES_Infraestrutura_Tecnológica,Questões de infraestrutura tecnológica,Temático,Rosa,"infraestrutura, tecnológica, conexão, internet, hardware"
DES_Integração_Sistemas,Integração com sistemas existentes,Temático,Rosa,"integração, sistemas, compatibilidade, dados, sincronização"
REC_App_Mobile,Sugestão de versão mobile/app,Temático,Amarelo,"app, mobile, smartphone, dispositivo, celular"
REC_Linguagem_Acessível,Recomendação de linguagem acessível para famílias,Temático,Amarelo,"linguagem, acessível, simples, claro, compreender"
REC_Integração_Rede,Recomendação de integração em rede de escolas,Temático,Amarelo,"rede, integração, escolas, municipal, estadual, federal"
REC_Horário_Treinamento,Recomendação de treinamento em horário de trabalho,Temático,Amarelo,"treinamento, horário, trabalho, remunerado, expediente"
